,Datum,KielerWoche,weekday,dayofyear,day_of_week
0,2012-06-16,1,5,168,Saturday
1,2012-06-17,1,6,169,Sunday
2,2012-06-18,1,0,170,Monday
3,2012-06-19,1,1,171,Tuesday
4,2012-06-20,1,2,172,Wednesday
5,2012-06-21,1,3,173,Thursday
6,2012-06-22,1,4,174,Friday
7,2012-06-23,1,5,175,Saturday
8,2012-06-24,1,6,176,Sunday
9,2013-06-22,1,5,173,Saturday
10,2013-06-23,1,6,174,Sunday
11,2013-06-24,1,0,175,Monday
12,2013-06-25,1,1,176,Tuesday
13,2013-06-26,1,2,177,Wednesday
14,2013-06-27,1,3,178,Thursday
15,2013-06-28,1,4,179,Friday
16,2013-06-29,1,5,180,Saturday
17,2013-06-30,1,6,181,Sunday
18,2014-06-21,1,5,172,Saturday
19,2014-06-22,1,6,173,Sunday
20,2014-06-23,1,0,174,Monday
21,2014-06-24,1,1,175,Tuesday
22,2014-06-25,1,2,176,Wednesday
23,2014-06-26,1,3,177,Thursday
24,2014-06-27,1,4,178,Friday
25,2014-06-28,1,5,179,Saturday
26,2014-06-29,1,6,180,Sunday
27,2015-06-20,1,5,171,Saturday
28,2015-06-21,1,6,172,Sunday
29,2015-06-22,1,0,173,Monday
30,2015-06-23,1,1,174,Tuesday
31,2015-06-24,1,2,175,Wednesday
32,2015-06-25,1,3,176,Thursday
33,2015-06-26,1,4,177,Friday
34,2015-06-27,1,5,178,Saturday
35,2015-06-28,1,6,179,Sunday
36,2016-06-18,1,5,170,Saturday
37,2016-06-19,1,6,171,Sunday
38,2016-06-20,1,0,172,Monday
39,2016-06-21,1,1,173,Tuesday
40,2016-06-22,1,2,174,Wednesday
41,2016-06-23,1,3,175,Thursday
42,2016-06-24,1,4,176,Friday
43,2016-06-25,1,5,177,Saturday
44,2016-06-26,1,6,178,Sunday
45,2017-06-17,1,5,168,Saturday
46,2017-06-18,1,6,169,Sunday
47,2017-06-19,1,0,170,Monday
48,2017-06-20,1,1,171,Tuesday
49,2017-06-21,1,2,172,Wednesday
50,2017-06-22,1,3,173,Thursday
51,2017-06-23,1,4,174,Friday
52,2017-06-24,1,5,175,Saturday
53,2017-06-25,1,6,176,Sunday
54,2018-06-16,1,5,167,Saturday
55,2018-06-17,1,6,168,Sunday
56,2018-06-18,1,0,169,Monday
57,2018-06-19,1,1,170,Tuesday
58,2018-06-20,1,2,171,Wednesday
59,2018-06-21,1,3,172,Thursday
60,2018-06-22,1,4,173,Friday
61,2018-06-23,1,5,174,Saturday
62,2018-06-24,1,6,175,Sunday
63,2019-06-22,1,5,173,Saturday
64,2019-06-23,1,6,174,Sunday
65,2019-06-24,1,0,175,Monday
66,2019-06-25,1,1,176,Tuesday
67,2019-06-26,1,2,177,Wednesday
68,2019-06-27,1,3,178,Thursday
69,2019-06-28,1,4,179,Friday
70,2019-06-29,1,5,180,Saturday
71,2019-06-30,1,6,181,Sunday
